Галузь Магістра,Коди,Кількість прийнятих осіб,Кількість студентів,З них жінки,"Кількість осіб, випущених із ЗВО",З них жінки
Державна безпека,251,,,,24,7
Національна безпека,256,337,869,213,323,64
Пожежна безпека,261,131,501,130,242,76
Правоохоронна діяльність,262,1 566,2 856,974,2 353,847
Цивільна безпека,263,344,740,211,574,178
Морський та внутрішній водний транспорт,271,510,528,11,543,16
Авіаційний транспорт,272,34,419,53,198,22
Залізничний транспорт,273,265,520,36,541,91
Автомобільний транспорт,274,1 042,1 250,39,1 154,25
Транспортні технології,275,1 342,2 037,398,1 881,512
Публічне управління та адміністрування,281,4 808,5 941,2 755,5 364,2 505
"Міжнародні відносини, суспільні комунікації 
та регіональні студії",291,937,1 160,613,857,500
Міжнародні економічні відносини,292,837,1 092,494,950,410
Міжнародне право,293,544,678,363,474,277
