Галузь Бакалавра,Коди,"Кількість осіб, прийнятих на навчання",Кількість студентів,З них жінки,"Кількість осіб, випущених із ЗВО",З них жінки
Соціальне забезпечення,232,332,1 371,863,353,277
Готельно-ресторанна справа,241,2 549,9 099,6 570,2 627,1 923
Туризм,242,,3 398,2 366,2 259,1 633
Туризм і рекреація,242,1 724,2 978,1 947,1,1
Національна безпека,256,549,1 968,709,139,55
Управління інформаційною безпекою,257,2,3,,,
Пожежна безпека,261,236,2 837,717,375,70
Правоохоронна діяльність,262,3 609,8 207,4 737,1 961,1 139
Цивільна безпека,263,418,2 151,791,335,156
Морський та внутрішній водний транспорт,271,1 516,7 011,133,2 242,23
Річковий та морський транспорт,271,,3,,,
Авіаційний транспорт,272,68,1 314,251,76,4
Залізничний транспорт,273,295,1 664,206,311,37
Автомобільний транспорт,274,1 684,6 932,111,1 031,14
Транспортні технології,275,2 391,9 658,3 050,1 672,497
Публічне управління та адміністрування,281,709,4 112,2 493,1 204,778
"Міжнародні відносини, суспільні комунікації 
та регіональні студії",291,1 503,6 332,4 554,1 585,1 132
Міжнародні економічні відносини,292,1 297,5 770,3 711,1 580,993
Міжнародне право,293,907,3 514,2 434,826,553
